27540
#term	doc freq	idx
0	51	0
0.0	1	1
0.000,000,1	1	2
0.000,001	1	3
0.00000001	1	4
0.000001	2	5
0.00001	2	6
0.0001	1	7
0.0002	1	8
0.0003	1	9
0.0005	1	10
0.0006	1	11
0.001	8	12
0.0018	2	13
0.002	3	14
0.0023	1	15
0.003	2	16
0.004	1	17
0.005	10	18
0.006	1	19
0.0062	1	20
0.0069	1	21
0.007	2	22
0.0094	1	23
0.01	25	24
0.012	1	25
0.0124	1	26
0.013	2	27
0.0134	1	28
0.013mugml	1	29
0.0144	1	30
0.015	2	31
0.019	1	32
0.01m	1	33
0.02	11	34
0.023h	1	35
0.025	3	36
0.026	1	37
0.029min	1	38
0.03	5	39
0.0351	1	40
0.036	1	41
0.037	1	42
0.038	1	43
0.04	6	44
0.0420	1	45
0.047mugml	1	46
0.0491	1	47
0.05	16	48
0.050	1	49
0.053	2	50
0.054	1	51
0.06	8	52
0.0618	1	53
0.062	1	54
0.064	1	55
0.065	1	56
0.0678	1	57
0.07	8	58
0.073	1	59
0.078	1	60
0.08	4	61
0.085	1	62
0.09	3	63
0.091	1	64
0.098	1	65
0.0i	1	66
0.1	55	67
0.10	2	68
0.103	1	69
0.11	1	70
0.114mugml	1	71
0.12	8	72
0.125	1	73
0.128	3	74
0.12m	1	75
0.13	1	76
0.131	1	77
0.137	1	78
0.15	10	79
0.151	1	80
0.158min	1	81
0.15m	1	82
0.16	5	83
0.17	6	84
0.178	1	85
0.17mumole	1	86
0.18	3	87
0.19	1	88
0.1m	2	89
0.1mm	1	90
0.1mum	1	91
0.2	38	92
0.20	1	93
0.21	1	94
0.22	3	95
0.23	3	96
0.23mm	1	97
0.24	1	98
0.245min	1	99
0.24mumole	1	100
0.25	17	101
0.25m	1	102
0.26	1	103
0.261	1	104
0.278	1	105
0.2mm	1	106
0.3	19	107
0.30	3	108
0.32	1	109
0.33m	1	110
0.34	1	111
0.34mg	1	112
0.35	5	113
0.36	3	114
0.37	2	115
0.38	2	116
0.38mul	1	117
0.39	1	118
0.3m	1	119
0.3ng	1	120
0.4	17	121
0.42	1	122
0.43	1	123
0.45	1	124
0.4578	1	125
0.46	1	126
0.464	1	127
0.48mumole	1	128
